rep,method,n,conversion,theta0,theta1,se0,se1,moment_norm
37,Q: densidade incorreta,30000,0.05993333333333333,-0.23005010342131327,0.6540680511510072,0.07077411390593863,0.07077411390593862,3.1634586982992645e-10
38,CQ-DML: b e m corretos,30000,0.061066666666666665,-0.4060694030868684,-0.1531355452650213,0.06924696947861912,0.06924696947861912,5.53673165691015e-19
38,CQ-DML: apenas m correto,30000,0.061066666666666665,-0.35102679526967023,-0.19634686040729335,0.07127209491485385,0.07127209491485387,1.258755560519358e-18
38,CQ-DML: apenas b correto,30000,0.061066666666666665,-0.35940041890355906,-0.17987769583010918,0.05986772459431495,0.05986772459431497,9.953352733677188e-19
38,CQ-DML: ambos incorretos,30000,0.061066666666666665,0.7356446459285751,-0.7372473453305287,0.06511117112069513,0.06511117112069513,1.554239789151272e-18
38,Q: densidade correta,30000,0.061066666666666665,-0.4122210410033143,-0.10749091911448717,0.07790942046215979,0.07790942046215979,3.4423721699762106e-10
38,Q: densidade incorreta,30000,0.061066666666666665,-0.280334213071928,0.761952411616614,0.07612741258208247,0.07612741258208248,1.0135766635103729e-09
39,CQ-DML: b e m corretos,30000,0.06096666666666667,-0.33974193945872555,-0.1810088233886657,0.07083636809510131,0.07083636809510131,3.2025022007383025e-18
39,CQ-DML: apenas m correto,30000,0.06096666666666667,-0.3470971137686427,-0.18000485375232117,0.0766451453948557,0.07664514539485572,2.9166489545447633e-18
39,CQ-DML: apenas b correto,30000,0.06096666666666667,-0.30653687560042436,-0.20919623657681222,0.06245022731959974,0.06245022731959974,2.240440272196083e-19
39,CQ-DML: ambos incorretos,30000,0.06096666666666667,0.7814039420094403,-0.7790537411097319,0.06934100064293386,0.06934100064293387,8.132231035120302e-19
39,Q: densidade correta,30000,0.06096666666666667,-0.34336464819958473,-0.18889789903562262,0.07141062890453358,0.07141062890453356,4.333780273181979e-12
39,Q: densidade incorreta,30000,0.06096666666666667,-0.21392927027344721,0.6780481163766869,0.07116763829900326,0.07116763829900327,3.4633429121636373e-10
40,CQ-DML: b e m corretos,30000,0.0603,-0.3379081445054447,-0.22695608212215573,0.06490546391054328,0.06490546391054328,8.640879745021796e-19
40,CQ-DML: apenas m correto,30000,0.0603,-0.33914215808140735,-0.21908013795603415,0.06904293966530227,0.0690429396653023,3.2101519414695526e-18
40,CQ-DML: apenas b correto,30000,0.0603,-0.336710309555271,-0.22181582378418688,0.058500023398515025,0.058500023398515025,2.3469658430400356e-18
40,CQ-DML: ambos incorretos,30000,0.0603,0.6976116829584815,-0.7151257081577194,0.06455118348974212,0.0645511834897421,9.54603213320457e-19
40,Q: densidade correta,30000,0.0603,-0.3299064524375501,-0.22639681579837592,0.07077371315195025,0.07077371315195025,1.7941120280397777e-10
